Age,Education_Level,Experience,Eligibility
36,3,4,Eligible
33,1,4,Not Eligible
34,4,7,Eligible
32,1,7,Not Eligible
26,1,1,Not Eligible
36,1,3,Not Eligible
21,1,7,Not Eligible
28,1,4,Not Eligible
33,2,0,Not Eligible
37,2,8,Not Eligible
38,3,9,Eligible
35,3,1,Not Eligible
38,3,4,Eligible
40,1,0,Not Eligible
22,4,7,Eligible
21,1,10,Not Eligible
21,3,3,Eligible
35,1,8,Not Eligible
20,2,6,Not Eligible
21,2,6,Not Eligible
31,1,1,Not Eligible
21,4,1,Not Eligible
28,2,6,Not Eligible
24,3,6,Eligible
26,2,6,Not Eligible
36,3,5,Eligible
36,1,6,Not Eligible
29,4,4,Eligible
39,1,8,Not Eligible
29,4,1,Not Eligible
38,3,6,Eligible
33,2,3,Not Eligible
33,2,8,Not Eligible
40,1,10,Not Eligible
27,4,5,Eligible
26,4,6,Eligible
32,3,0,Not Eligible
36,2,9,Not Eligible
30,1,9,Not Eligible
20,3,6,Eligible
38,4,3,Eligible
28,1,2,Not Eligible
35,4,6,Eligible
39,3,0,Not Eligible
38,4,5,Eligible
29,1,9,Not Eligible
29,1,2,Not Eligible
27,3,8,Eligible
33,3,2,Eligible
23,2,7,Not Eligible
26,1,9,Not Eligible
32,2,10,Not Eligible
39,2,8,Not Eligible
38,3,0,Not Eligible
20,3,4,Eligible
37,3,10,Eligible
21,1,5,Not Eligible
29,3,1,Not Eligible
37,2,10,Not Eligible
26,3,5,Eligible
35,3,5,Eligible
21,1,7,Not Eligible
22,3,2,Eligible
34,3,8,Eligible
31,3,0,Not Eligible
39,1,0,Not Eligible
33,3,2,Eligible
36,1,3,Not Eligible
28,3,0,Not Eligible
33,2,4,Not Eligible
34,3,10,Eligible
33,4,4,Eligible
24,1,7,Not Eligible
24,1,10,Not Eligible
36,3,6,Eligible
24,2,4,Not Eligible
33,1,7,Not Eligible
37,4,10,Eligible
27,1,5,Not Eligible
27,3,8,Eligible
23,2,10,Not Eligible
26,2,5,Not Eligible
40,3,6,Eligible
26,2,10,Not Eligible
38,1,0,Not Eligible
31,4,6,Eligible
39,2,8,Not Eligible
40,3,1,Not Eligible
21,2,6,Not Eligible
32,3,1,Not Eligible
34,1,8,Not Eligible
23,3,3,Eligible
38,4,3,Eligible
30,2,10,Not Eligible
20,2,0,Not Eligible
32,2,3,Not Eligible
24,2,3,Not Eligible
27,2,0,Not Eligible
25,1,5,Not Eligible
35,1,6,Not Eligible
